scan_page	printed_page	section	raw_chars	clean_chars	edge_dropped	running_head	hyphens_joined	cjk_runs	junk_blocks
126	107	chapter/4	3904	3922	0	1	3	2	1
127	108	chapter/4	4205	4199	4	0	2	1	0
128	109	chapter/4	3484	3569	0	1	3	5	2
129	110	chapter/4	4046	3984	3	1	7	0	0
130	112	chapter/4	3684	3692	0	1	1	3	0
131	113	chapter/4	4388	4384	2	0	2	1	0
132	114	chapter/4	4739	4803	1	1	2	8	0
133	115	chapter/4	3803	3987	0	0	2	13	1
134	116	chapter/4	4186	4163	0	0	1	0	0
135	117	chapter/4	3999	3963	1	1	0	1	0
136	118	chapter/4	4168	4449	1	1	2	7	8
137	119	chapter/4	4135	4162	1	0	2	3	0
138	120	chapter/4	4907	4910	4	1	4	4	0
139	121	chapter/4	3403	3383	1	1	6	2	0
140	122	chapter/4	2924	2895	0	1	0	0	0
141	123	chapter/4	4509	4618	0	0	2	7	1
142	124	chapter/4	4531	4498	0	1	5	1	0
143	125	chapter/4	4362	4400	0	0	11	5	0
144	127	chapter/4	4260	4284	0	1	4	5	0
145	128	chapter/4	3958	3951	0	0	1	0	0
146	129	chapter/4	3812	3782	0	1	1	0	0
147	130	chapter/4	4132	4252	0	0	2	3	3
148	131	chapter/4	5144	5280	3	1	4	14	0
149	132	chapter/4	3968	3934	1	1	1	0	0
150	133	chapter/4	880	841	3	1	0	0	0
151	134	chapter/5	2747	2830	0	0	1	7	0
152	135	chapter/5	3716	3719	0	0	3	1	0
153	136	chapter/5	3784	3820	0	0	1	1	1
154	137	chapter/5	3050	3016	0	1	1	0	0
155	138	chapter/5	3762	3736	4	0	2	0	0
156	139	chapter/5	2960	2923	5	1	2	1	0
157	140	chapter/5	3851	3929	1	0	2	5	1
158	141	chapter/5	4476	4490	1	0	6	3	0
159	142	chapter/5	5232	5214	0	0	4	0	0
160	143	chapter/5	4314	4300	2	1	2	3	0
161	144	chapter/5	3552	3536	3	0	4	1	0
162	145	chapter/5	3717	3726	0	0	1	1	0
163	146	chapter/5	4318	4397	0	0	4	1	3
164	146	chapter/5	4920	4897	1	0	5	0	0
165	147	chapter/5	3459	3558	0	0	0	8	0
166	148	chapter/5	3640	3715	1	1	2	9	0
167	149	chapter/5	4001	4029	0	0	1	3	0
168	150	chapter/5	4304	4401	0	0	3	6	1
169	151	chapter/5	3198	3387	0	1	0	4	6
170	152	chapter/5	3676	3674	0	1	2	3	0
171	153	chapter/5	3465	3473	0	0	1	1	0
172	154	chapter/5	3469	3436	1	1	2	1	0
173	155	chapter/5	654	650	0	0	0	0	0
174	156	chapter/5	2602	2598	0	1	1	1	0
175	157	appendix/1	3864	3862	0	1	0	1	0
176	158	appendix/1	4047	4082	1	0	5	4	0
177	160	appendix/1	3404	3385	1	1	0	0	0
178	161	appendix/2	2775	2761	0	1	0	0	0
179	162	appendix/2	3729	3705	1	1	1	0	0
180	163	appendix/2	4196	4209	2	1	1	3	0
181	164	appendix/2	3431	3416	3	0	0	0	0
182	165	appendix/3	3303	3281	1	1	1	0	0
183	166	appendix/3	4772	4741	1	1	4	0	0
184	167	appendix/3	4321	4368	0	1	0	5	0
185	168	appendix/3	4049	4033	2	1	0	1	0
186	169	appendix/3	3731	3775	1	1	0	5	0
187	170	appendix/3	1371	1354	1	1	0	0	0
188	171	appendix/4	2522	2504	0	1	1	0	0
189	172	appendix/4	3818	3815	4	0	1	1	0
190	173	appendix/4	4869	4982	0	1	1	8	1
191	174	appendix/4	4287	4350	1	1	1	4	1
192	175	appendix/4	4297	4333	0	1	0	4	0
193	176	appendix/4	1720	1739	2	0	1	0	1
194	177	appendix/5	2348	2366	0	0	2	2	0
195	178	appendix/5	3280	3266	2	0	0	0	0
196	179	appendix/5	4303	4642	0	1	2	23	2
197	180	appendix/5	4318	4456	6	0	1	6	3
198	181	appendix/5	3730	3796	3	1	1	5	1
199	182	appendix/5	2993	3105	0	1	3	6	2
200		plates/figures	9	7	0	0	0	0	0
201		plates/figures	846	1128	3	0	0	16	3
202		plates/figures	192	251	2	0	0	3	1
203		plates/figures	342	580	2	0	0	12	3
204		plates/figures	345	353	1	0	0	1	0
205		plates/figures	245	482	0	0	0	5	6
206		plates/figures	440	447	0	0	1	1	0
207		plates/figures	313	299	3	0	0	0	0
208		plates/figures	651	845	0	0	1	13	1
209		plates/figures	94	92	0	0	0	0	0
210		plates/figures	140	135	1	0	0	0	0
211		plates/figures	698	692	0	0	1	0	0
212		plates/figures	122	120	0	0	0	0	0
213		plates/figures	93	81	4	0	0	0	0
214		plates/figures	171	226	4	0	0	3	1
215		plates/figures	62	50	3	0	0	0	0
216		plates/figures	94	84	2	0	0	0	0
217		plates/figures	95	164	0	0	0	1	2
218		plates/figures	146	144	0	0	0	0	0
219		plates/figures	63	61	0	0	0	0	0
220		plates/figures	236	290	5	0	0	5	1
221		plates/figures	1385	1417	1	0	0	1	1
222		plates/figures	1395	1637	0	0	2	17	1
223		plates/figures	10	8	0	0	0	0	0
224		plates/figures	1250	1975	0	0	0	33	10
225		plates/figures	0	0	0	0	0	0	0
226		plates/figures	197	255	5	0	0	4	1
227		plates/figures	416	441	4	0	0	3	0
228		plates/figures	557	949	1	0	0	15	7
229		plates/figures	1458	1899	2	1	0	16	9
230	183	plates/tables	8	6	0	0	0	0	0
231	184	plates/tables	703	1278	2	0	0	18	12
232	185	plates/tables	4234	4676	1	1	0	22	6
233	186	plates/tables	3477	3554	1	0	0	2	2
234	187	plates/tables	1327	1327	3	0	0	1	0
235	188	plates/tables	1543	1533	0	1	0	0	0
236	189	plates/tables	1752	1737	4	0	0	0	0
237	190	plates/tables	770	755	1	1	0	0	0
238	191	plates/tables	1940	2286	1	1	0	28	0
239	192	plates/tables	1903	2010	0	1	0	9	0
240	193	plates/tables	1810	1951	1	1	0	12	0
241	194	plates/tables	2277	2551	0	1	1	20	1
242	195	plates/tables	618	874	3	1	0	21	0
243	196	plates/tables	2538	2572	0	0	0	3	0
244	197	plates/tables	1741	1741	2	0	1	0	1
245	198	plates/tables	1912	1871	6	0	0	0	0
246	199	plates/tables	677	1003	1	1	0	24	1
247	200	plates/tables	1458	1448	0	1	0	0	0
248	201	plates/tables	3717	3728	1	1	0	2	0
249	202	plates/tables	1494	1484	0	1	0	0	0
250	203	plates/tables	1240	1948	3	1	0	56	0
251	204	plates/tables	1179	1677	0	0	0	34	2
252	205	plates/tables	1051	1569	0	0	0	40	0
253	207	plates/tables	2331	2435	1	1	0	9	0
254	208	plates/tables	5512	5537	4	0	0	3	0
255	209	plates/tables	3146	3233	0	0	1	7	0
256	210	plates/tables	1887	2001	2	0	1	5	2
257	211	plates/tables	767	935	0	0	0	4	4
258	212	plates/tables	852	875	0	0	0	2	0
259	213	plates/tables	827	1037	1	0	0	12	2
260	214	plates/tables	672	826	1	1	0	4	4
261	215	plates/tables	671	1019	0	1	0	3	11
262	216	plates/tables	784	1201	0	0	0	23	4
263	217	plates/tables	664	1160	4	0	0	29	5
264	218	plates/tables	569	1088	1	0	0	29	5
265	219	plates/tables	590	1016	0	1	0	20	6
266	220	plates/tables	5124	5117	1	0	0	0	0
267	221	plates/tables	699	878	0	0	0	14	0
268	222	plates/tables	1757	1905	0	0	0	5	3
269	223	plates/tables	2479	2581	0	0	0	8	0
270	224	plates/tables	2203	2303	0	0	2	6	1
271	225	plates/tables	1305	1375	0	1	1	2	2
272	226	plates/tables	1777	1897	8	0	0	7	2
273	227	plates/tables	1524	1553	0	1	0	3	0
274	228	plates/tables	2275	2495	0	1	0	11	3
275	229	backmatter/bibliography-a	2628	3071	2	0	0	35	0
276	230	backmatter/bibliography-a	3475	4419	1	0	0	73	0
277	231	backmatter/bibliography-a	2256	2586	1	1	0	27	0
278	232	backmatter/bibliography-b	2275	2879	1	0	1	47	0
279	233	backmatter/bibliography-b	3008	3526	0	0	0	40	0
280	234	backmatter/bibliography-b	2927	3502	2	0	0	45	0
281	235	backmatter/bibliography-b	3005	4138	1	1	0	89	0
282	236	backmatter/bibliography-b	3011	3901	2	0	0	69	0
283	237	backmatter/bibliography-b	2879	3794	0	1	0	72	0
284	238	backmatter/bibliography-b	2626	2944	1	0	1	25	0
285	239	backmatter/bibliography-b	2838	4145	0	1	0	102	0
286	240	backmatter/bibliography-b	2976	3680	4	1	1	57	0
287	241	backmatter/bibliography-b	2691	3463	0	1	0	61	0
288	242	backmatter/bibliography-b	2888	4239	2	1	0	106	0
289	243	backmatter/bibliography-b	2755	3022	0	0	2	21	0
290	244	backmatter/bibliography-b	2727	3649	3	1	0	73	0
291	245	backmatter/bibliography-b	2722	4179	1	1	0	114	0
292	246	backmatter/bibliography-b	2521	3291	3	0	0	56	2
293	247	backmatter/bibliography-b	2837	2930	1	1	0	9	0
294	248	backmatter/bibliography-b	2603	2853	1	1	0	21	0
295	249	backmatter/bibliography-b	2707	4168	0	1	0	114	0
296	250	backmatter/bibliography-b	2578	2910	0	0	1	26	0
297	251	backmatter/bibliography-b	2676	3753	0	0	0	83	0
298	252	backmatter/bibliography-b	3067	3673	1	0	0	47	0
299	253	backmatter/bibliography-b	2487	2830	1	0	1	27	0
300	254	backmatter/bibliography-b	2824	3381	0	1	0	42	1
301	255	backmatter/bibliography-b	2389	2734	0	1	0	28	0
302	256	backmatter/bibliography-b	1136	1246	2	1	0	11	0
303	257	backmatter/finding-list	2061	2059	0	0	0	0	0
304	258	backmatter/finding-list	2451	2513	0	1	0	6	0
305	259	backmatter/finding-list	2807	2930	1	0	0	10	0
306	260	backmatter/finding-list	2778	2812	1	1	0	4	0
307	261	backmatter/finding-list	2868	2858	2	1	0	1	0
308	263	backmatter/finding-list	3371	3536	2	1	0	10	2
309	264	backmatter/finding-list	2552	2536	0	1	0	0	0
310	265	backmatter/finding-list	3337	3329	1	1	0	1	0
311	266	backmatter/finding-list	1007	991	0	1	0	0	0
312	267	backmatter/index	6187	6199	2	0	6	5	0
313	268	backmatter/index	7201	7301	0	0	8	10	0
314	269	backmatter/index	7316	7367	0	1	11	8	0
315	270	backmatter/index	7399	7361	1	1	9	0	0
316	271	backmatter/index	7332	7367	1	0	10	6	0
317	272	backmatter/index	7473	7473	0	1	8	3	0
318	273	backmatter/index	7000	7007	1	1	6	3	0
319	274	backmatter/index	7126	7142	0	1	6	4	0
320	275	backmatter/index	7508	7456	2	1	9	0	0
321	276	backmatter/index	7731	7850	1	1	11	13	0
322	277	backmatter/index	7908	7880	2	1	5	1	0
323	278	backmatter/index	6875	7126	1	1	8	22	0
324	279	backmatter/index	7426	7553	11	1	5	15	0
325	280	backmatter/index	7169	7276	2	1	8	8	2
326	281	backmatter/index	3212	3232	7	1	6	6	0
