scan_page	printed_page	section	raw_chars	clean_chars	edge_dropped	running_head	hyphens_joined	cjk_runs	junk_blocks
1		frontmatter/half-title	31	29	0	0	0	0	0
2		frontmatter/half-title	16	11	1	0	0	0	0
3		frontmatter/title	126	124	0	0	0	0	0
4		frontmatter/copyright	422	442	1	0	0	2	0
5	v	frontmatter/dedication	186	249	0	0	0	5	0
6	vii	frontmatter/epigraph	252	243	2	0	0	0	0
7	ix	frontmatter/contents	1084	1079	1	0	0	0	0
8	ix	frontmatter/contents	1528	1542	0	1	0	2	0
9	x	frontmatter/contents	1658	1704	1	0	0	4	0
10	x	frontmatter/list-of-figures-tables	1684	1682	0	0	0	0	0
11	xi	frontmatter/list-of-figures-tables	2066	2132	0	0	0	3	1
12	xii	frontmatter/abbreviations	1722	3045	0	0	0	102	0
13	xiii	frontmatter/preface	2954	2934	4	0	2	0	0
14	xiv	frontmatter/preface	4056	4108	0	0	0	2	1
15	xv	frontmatter/preface	3576	3556	2	1	0	0	0
16	xvi	frontmatter/preface	2881	2994	0	0	1	9	0
17	xvii	frontmatter/preface	3342	3440	1	0	0	8	0
18	1	frontmatter/preamble	2842	2867	0	0	0	0	1
19	2	frontmatter/preamble	4090	4068	0	1	2	0	0
20	3	chapter/1	2566	2545	0	1	1	0	0
21	4	chapter/1	4406	4402	5	1	2	5	0
22	5	chapter/1	4238	4194	6	1	1	2	0
23	6	chapter/1	3041	3089	2	1	1	7	0
24	7	chapter/1	4915	4925	0	1	4	2	1
25	8	chapter/1	4287	4453	0	1	1	16	0
26	9	chapter/1	3976	3931	2	1	2	0	0
27	10	chapter/1	4817	4754	2	1	5	0	0
28	11	chapter/1	4543	4490	3	1	4	0	0
29	12	chapter/1	3591	3554	1	1	1	0	0
30	13	chapter/1	3948	3941	0	1	3	0	1
31	14	chapter/1	4251	4259	1	1	1	1	1
32	15	chapter/1	3837	3817	1	0	2	0	0
33	16	chapter/1	4529	4591	0	0	0	3	1
34	17	chapter/1	4486	4540	2	1	3	5	1
35	18	chapter/1	4058	4053	1	1	4	2	0
36	19	chapter/1	3159	3165	1	1	1	0	1
37	20	chapter/1	3783	3751	1	1	3	0	0
38	21	chapter/1	4127	4087	2	1	1	0	0
39	22	chapter/1	4743	4746	0	0	1	1	0
40	23	chapter/1	4449	4428	5	1	1	2	0
41	24	chapter/1	3559	3524	1	1	1	0	0
42	25	chapter/1	3619	3596	1	1	0	1	0
43	26	chapter/1	4429	4414	0	0	4	0	0
44	27	chapter/1	303	258	5	1	0	0	0
45	28	chapter/2	2416	2393	1	1	1	0	0
46	29	chapter/2	4809	4850	1	1	5	7	0
47	30	chapter/2	4310	4331	0	1	2	5	0
48	31	chapter/2	3508	3541	2	1	0	6	0
49	32	chapter/2	4713	4694	1	1	5	3	0
50	33	chapter/2	3484	3485	2	0	1	1	0
51	34	chapter/2	3184	3162	1	1	0	0	0
52	35	chapter/2	3610	3587	3	1	2	1	0
53	36	chapter/2	3828	3824	1	1	2	2	0
54	37	chapter/2	3624	3647	2	1	3	5	0
55	38	chapter/2	4765	4777	2	1	3	4	0
56	39	chapter/2	4437	4401	2	1	2	0	0
57	40	chapter/2	3398	3465	0	0	4	4	1
58	41	chapter/2	4644	4652	3	1	10	5	0
59	42	chapter/2	2704	2667	1	1	2	0	0
60	43	chapter/2	2649	2644	0	1	3	2	0
61	44	chapter/2	3368	3349	1	1	2	1	0
62	45	chapter/2	4062	4058	1	1	2	3	0
63	46	chapter/2	4301	4257	2	1	1	0	0
64	47	chapter/2	4076	4165	0	0	2	3	2
65	48	chapter/2	4614	4721	0	1	0	7	2
66	49	chapter/2	4578	4652	1	1	2	5	2
67	50	chapter/2	3839	3801	0	1	1	0	0
68	51	chapter/2	5295	5357	1	1	3	6	1
69	52	chapter/2	4145	4100	1	1	1	0	0
70	53	chapter/2	3627	3630	5	0	1	2	0
71	54	chapter/2	4114	4203	0	0	0	5	1
72	55	chapter/2	3718	3677	4	1	5	0	0
73	56	chapter/2	4294	4270	2	0	5	0	0
74	57	chapter/3	2307	2347	6	1	2	6	0
75	58	chapter/3	4624	4718	0	0	3	8	0
76	59	chapter/3	3982	4291	0	1	2	24	1
77	60	chapter/3	3605	4075	1	0	1	37	0
78	61	chapter/3	3698	3829	7	1	0	14	0
79	62	chapter/3	3842	3929	1	0	2	8	0
80	62	chapter/3	3722	4729	0	1	2	80	0
81	63	chapter/3	3273	3306	0	0	2	3	0
82	64	chapter/3	3724	3724	2	0	1	1	0
83	65	chapter/3	4762	4779	1	0	6	3	0
84	66	chapter/3	4418	4429	0	0	3	2	0
85	67	chapter/3	4223	4277	0	0	3	5	0
86	68	chapter/3	4122	4309	0	0	2	15	0
87	69	chapter/3	3836	3948	0	0	2	7	1
88	70	chapter/3	3252	3186	1	1	1	0	0
89	71	chapter/3	3733	3715	3	0	2	0	0
90	72	chapter/3	3844	3808	4	1	2	3	0
91	72	chapter/3	3513	3673	1	0	2	13	0
92	73	chapter/3	4083	4213	1	1	0	6	4
93	74	chapter/3	3057	3061	1	0	0	1	0
94	75	chapter/3	2895	2922	0	1	2	2	1
95	76	chapter/3	4372	4406	1	1	2	5	0
96	77	chapter/3	2740	2805	0	1	1	7	0
97	78	chapter/3	3773	3889	0	0	3	3	3
98	79	chapter/3	4592	4571	1	1	2	1	0
99	80	chapter/3	3201	3251	0	0	1	2	1
100	81	chapter/3	3410	3391	4	1	3	2	0
101	82	chapter/3	4331	4297	2	1	2	0	0
102	83	chapter/3	4066	4045	2	1	1	1	0
103	83	chapter/3	3311	3403	0	0	0	5	1
104	84	chapter/3	4120	4084	1	1	2	0	0
105	85	chapter/3	2868	2937	1	0	2	6	0
106	86	chapter/3	3270	3242	1	1	1	0	0
107	87	chapter/3	1168	1139	2	1	0	0	0
108	88	chapter/4	2385	2366	1	1	1	0	0
109	89	chapter/4	3392	3368	4	1	0	2	0
110	90	chapter/4	4148	4138	2	1	0	3	0
111	91	chapter/4	3314	3335	0	0	1	2	0
112	92	chapter/4	3748	3792	1	1	1	6	0
113	93	chapter/4	4227	4225	0	1	0	2	0
114	94	chapter/4	3729	3767	1	0	0	1	1
115	95	chapter/4	4265	4279	0	0	1	2	0
116	97	chapter/4	4671	4636	1	1	0	0	0
117	98	chapter/4	3710	3682	2	1	1	1	0
118	99	chapter/4	4327	4375	0	1	1	4	1
119	100	chapter/4	5052	5232	0	0	0	14	0
120	101	chapter/4	4415	4363	3	1	4	0	0
121	102	chapter/4	3911	3900	0	1	5	2	0
122	103	chapter/4	3568	3545	1	1	3	1	0
123	104	chapter/4	4030	3976	9	1	2	0	0
124	105	chapter/4	5002	5058	0	1	2	5	1
125	106	chapter/4	4171	4130	1	1	4	0	0
