unit	note_no	source_scan	source_printed	status	sig_excerpt	note_body_head	gv_digit_candidates	gv_super_candidates	tess_digit_candidates	tess_weird_markers
chapter/2	76	60	43	no-marker					ally harmed (them).⏎⏎76. On the possibl	; in the ¢’ou period’® between⏎t
chapter/2	80	61	44	no-marker					’s death (?)⏎⏎99 66⏎⏎80. “Disasters,” ‘	g of alarming news.’’®°⏎(VERIFIC | ame to the fifth day,®! ting-yu 
chapter/2	153	72	55	tess-fallback			yet been determined. 153⏎152⏎55⏎55⏎		 yet been determined.153⏎⏎146. Britton ( | ian ‘1967), p. 865.⏎⏎153. According to C	
chapter/2	150	72	55	no-marker			"ns with brown. 147⏎""'150⏎To what extent "		⏎filled with black.⏎⏎150. Benedetti-Pich |  P 13 (D) (ibid., p. 150). Britton,⏎appa	
chapter/3	3	74	57	no-marker			CHAPTER 3⏎Deciphering⏎the | ing⏎the Inscriptions⏎3.1⏎Introduction  | w they may be used.³⏎3.2⏎Published Sou	ow they may be used.³⏎3.2⏎Publi	ng⏎the Inscriptions⏎⏎3.1 Introduction  | how they may be used.3⏎⏎3.2 Published  |  they may be used.3⏎⏎3.2 Published Sou | about 300⏎scholars.⏎⏎3. The progress o	d over 970⏎monographs*—has appea | the form of rubbings.* A list of
chapter/3	6	75	58	no-marker					o; €.g., Ch’len-pien 6.39.6 (S1go.4) r | g., Ch’len-pien 6.39.6 (S1go.4) refers | umn of⏎p. 39b of ch. 6 of Yin-hsii shu | see ch. 2, n. 145).⏎⏎6. A few collecti	ublished collections.®⏎⏎of repro
chapter/3	9	76	59	no-marker						sii chia-ku wen-pien.®⏎⏎The entr
chapter/3	52	85	67	no-marker					e table 26, no. 15.⏎⏎52. This approach 	of which it⏎adopts.’’°° Most of  | d & as a loan⏎for # .°! Modern s | ing the script⏎at all°?—but it i
chapter/3	60	87	69	no-marker					 p. 1497; S306.2-3.⏎⏎60. CKWT, p. 3126;	t, blame, calamity.’’®! Such Sha | oracle inscriptions ;®* they can | ad semantic emphasis.** But once
chapter/3	79	92	73	no-marker					. 82 (from $232.3).⏎⏎79. Like Ikeda (19	 noted by Lo Chen-yu.** This enl | imbun 344. (S232.4),”° which ref | fer wine libation.’’’*°⏎⏎This tr | by a comparison of Ch‘venpien 4.
chapter/3	88	96	77	no-marker					"o sacrifice a sheep. 88⏎favorable.""*89⏎ |  the king follows.”⏎⏎88. On the mao sac"	"sheep. 88⏎favorable.""*89⏎⏎(Charg"
chapter/3	92	98	79	no-marker				cy (cf. sec. 1.6.4).⁹5⏎In gener		were left numbcrless.®⏎⏎I take i
chapter/3	93	98	79	no-marker				cy (cf. sec. 1.6.4).⁹5⏎In gener	cations, see n. 41.⏎⏎93. The hsin is il	were left numbcrless.®⏎⏎I take i
chapter/3	94	98	79	no-marker				cy (cf. sec. 1.6.4).⁹5⏎In gener	ang Ping-ch’uan⏎and S94.2.⏎⏎94. Followi | g-ch’uan⏎and S94.2.⏎⏎94. Following Ping	were left numbcrless.®⏎⏎I take i
chapter/4	5	110	90	no-marker					ee table 1, note h.⏎⏎5. This is the sy | 1, p. 2b; pt. 2, ch. 5,⏎p. 2b. Cf. ch.	s or groups of kings.® The basic | m Wu Ting to Ti Hsin.*⏎Rather th | II but to period 1Va.° Since the | s periods III and IV.* Tung hims
chapter/4	9	111	91	no-marker						me of his categories,® introduce
chapter/4	13	112	92	no-marker			riod Vb referred to K13 as Tsu Hsin, “G	but not in Shih-chi¸¹³⏎And they 	riod Vb referred to K13 as Tsu Hsin, “G | siian [1952], 426).⏎⏎13. The names of t	s, both Wu Ting⏎(Ka1)* in period
chapter/4	42	120	101	no-marker					 by other⏎evidence.⏎⏎42. Ch’en Meng-chi	lso needs⏎more study.*! In short
chapter/4	47	121	102	tess-fallback					areers of engravers, 47⏎⏎who appears in | sion⏎of a new king.⏎⏎47. See ch. 2, nn.	o be greatly refined.*® The⏎evol
chapter/4	64	125	106	no-marker					 (shou-chin #93 4).⏎⏎64. E.g., small: J	of periods III and V.®⏎Figures 2 | n to a larger⏎design.“ In genera
chapter/4	85	129	110	tess-fallback			ed only on the front.85⏎84⏎As already s		ed only on the front.85⏎⏎As already sug | e too ch. 2,⏎n. 65.⏎⏎85. In Jimbun, the	apulas and plastrons.*4 This was | be⏎used in period V ;** their di
chapter/4	100	132	114	no-marker			 ritual⏎to Ta Chia (⑨100⏎have so far bee		 that ten-day week.⏎⏎100. Ho-pien 21 (D)	isaster.”⏎⏎POSTFACE:)®® In the f
chapter/4	111	134	116	no-marker						
chapter/4	117	135	117	no-marker					bone as the charge.⏎⏎117. Table 26, no. 	
chapter/4	122	135	117	no-marker			"ught thirteen foxes"" 122_ and are genera"		slated in sec. 2.8.⏎⏎122. Jimbun 1373 (S	
chapter/4	123	135	117	no-marker			, in other periods.1 123⏎		($220.3; period V).⏎⏎123. Verifications 	
chapter/4	135	138	120	no-marker			THE DATING CRITERIA⏎*135⏎(?), “not again		8 y, “no obstacle.”⏎⏎135. This ranking i	
chapter/4	160	143	125	no-marker			 THE DATING CRITERIA⏎160⏎technical ratio	wded and⏎disordered;¹⏎; 163 thi	[1973], pp. 6, 63).⏎⏎160. Hsti Chin-hsiu	of the shape changes;®® and he i
chapter/4	179	147	130	no-marker			er than vice versa.¹ 179⏎4.3.3.2 Excavat	her than vice versa.¹ 179⏎4.3.3	s, which are in the⏎⏎179. Cf. It6 (1959)	
chapter/4	188	150	133	no-marker					⏎⏎⏎⏎188. That our prese	
chapter/5	2	151	134	no-marker				ry,⏎jade, and stone.¹ Certain b |  late Shang calendar³ and⏎aspec	. 1, nn. 21 and 22.⏎⏎2. For the evolut	enticity, and dating.® The other
chapter/5	6	152	135	no-marker					e Shang world view.⏎⏎6. Particularly i	s new finds are made,® but at pr | hang evidence itself.° Nothing⏎i | chive with the world.® The menta
chapter/5	7	152	135	no-marker					ng are the sixty-six 7. E.g., Kane (19 | i,⏎1973-74 (WW [1975.7], pp. 56-60; fo	s new finds are made,® but at pr | hang evidence itself.° Nothing⏎i | chive with the world.® The menta
chapter/5	8	152	135	no-marker					this⏎kind of study.⏎⏎8. To cite but on	s new finds are made,® but at pr | hang evidence itself.° Nothing⏎i | chive with the world.® The menta
chapter/5	9	152	135	no-marker						s new finds are made,® but at pr | hang evidence itself.° Nothing⏎i | chive with the world.® The menta
chapter/5	68	167	149	no-marker			computer technology. 68⏎67⏎Tung Tso-pin		a-t’u 5, see n. 76.⏎⏎68. Chou Hung-hsia	 of vital importance.** It⏎permi | ntifically excavated.* Certain c |  an individual basis.°* The work |  computer technology.*®⏎⏎Tung Ts | ken⏎mirror together’’®® should r
chapter/5	71	168	150	no-marker					56; (1973), p. 180.⏎⏎71. On this aspect	out of the question.”° In additi | r example, fig. 30),’* but some 
chapter/5	74	168	150	no-marker					88; (1952), p. 282.⏎⏎74. For references | an-li⏎(1965), pp. 73-74. Chang Ping-ch’	out of the question.”° In additi | r example, fig. 30),’* but some 
chapter/5	91	172	154	no-marker			sy explanations.”⏎'' 91⏎It is the prima			ole of the historian.® It is for | andardized⏎unreason”’®? which la
appendix/1	2	175	157	no-marker					oe⏎⏎Se⏎zie⏎aE UW⏎⏎BS 2eisw Se ezsrae c | m the An-vang site.⏎⏎2. Material and M |  or⏎identification; (2) little is know | aped clean ‘sec. 1.3.2) so that only t | ctoral seam width (PW2_, the abdominal	
appendix/2	1	178	161	no-fuzzy-match	ntlythanbone		"l-bone ratio of 2 to 1.2 According to  | ant scapulae is 3 to 1.""3 Hu Hou-hsüan"	requently than bone.¹ Shih⏎Chan	pulas⏎⏎to Plastrons⏎⏎1. Fragment Count | l-bone ratio of 2 to 1.2 According to  | ant scapulae is 3 to 1.”> Hu Hou-hsiia | see appendix⏎3, sec. 1)? This we do no | ess frequently (sec. 1.3.2).⏎⏎6. I exc	ould make a plastron.°⏎This agai
appendix/2	2	178	161	no-fuzzy-match	lboneratioof		APPENDIX 2⏎The Ratio of Sc |  shell-bone ratio of 2 to 1.2 Accordin | bone ratio of 2 to 1.2 According to Ch	requently than bone.¹ Shih⏎Chan	 shell-bone ratio of 2 to 1.2 Accordin | bone ratio of 2 to 1.2 According to Ch | frequently (sec. 1.3.2).⏎⏎6. I exclude	ould make a plastron.°⏎This agai
appendix/2	4	178	161	no-fuzzy-match	lboneratioof		0-plus plastrons⏎and 4,000-plus scapul |  shell-bone⏎ratio of 4 to 3.4⏎Two issu | bone⏎ratio of 4 to 3.4⏎Two issues are 	requently than bone.¹ Shih⏎Chan	0-plus plastrons⏎and 4,000-plus scapul |  shell-bone⏎ratio of 4 to 3.4⏎⏎Two iss | bone⏎ratio of 4 to 3.4⏎⏎Two issues are	ould make a plastron.°⏎This agai
appendix/2	5	178	161	no-marker				requently than bone.¹ Shih⏎Chan	u-hsiian (19444), p. 5b. fragments fro	ould make a plastron.°⏎This agai
appendix/2	6	178	161	no-marker				requently than bone.¹ Shih⏎Chan	ent is bone or⏎shell.6 The ratio of bo | ently (sec. 1.3.2).⏎⏎6. I exclude Yi-p	ould make a plastron.°⏎This agai
appendix/3	2	182	165	no-fuzzy-match	dorpublished		eserved or published.2⏎		s counts cited in n. 2 do not always o | 548), P- 120; cf. n. 2 below. The prob | h. 5, n. 52, above.⏎⏎2. Hu Hou-hstian 	
appendix/3	1	182	165	no-marker					 Size of the Sample⏎⏎1. Estimate by Fr | -pien (1933); of the 1,125⏎rubbings in | ed in 1973⏎(KK [1975.1], Pb. 37): This	
appendix/3	5	183	166	no-marker					 see ch. 4, n. 184.⏎⏎5. Of the 24,918  | iian (1944a), pp. 4a—5b, arrives⏎at fa	
appendix/3	7	183	166	no-marker					xcavated in⏎1971 and 7,150 bone and sh | ever⏎irretrievable.⏎⏎7. Hu Hov-hsiian 	
appendix/4	2	188	171	no-fuzzy-match	inappendixes		oposed in appendixes 2 and 3 depend up	 will be given here.¹⏎	oposed in appendixes 2 and 3 depend up | ill be given here.!⏎⏎2. The Date of th | (1975) and (1975b).⏎⏎2. Barnard (1975) | g (1945), pt. I. ch. 2, pp. 6b-8a; ch.	i-historical records,‘ to vindic
appendix/4	3	188	171	no-fuzzy-match	ppendixesand		 in appendixes 2 and 3 depend upon⏎the	 will be given here.¹⏎	 in appendixes 2 and 3 depend upon⏎the | the most reliable.”⏎⏎3. On the rival c	i-historical records,‘ to vindic
appendix/4	4	188	171	no-fuzzy-match	ricalrecords		APPENDIX 4⏎Absolute Chrono	 will be given here.¹⏎	h. 2, pp. 6b-8a; ch. 4,⏎pp. 11b—28b; ( | 1961), p. 26, n. 8.⏎⏎4. For studies of	i-historical records,‘ to vindic
appendix/5	1	194	177	no-fuzzy-match	scribedinsec		escribed in sec. 4.3.1.12. Changes in 		n⏎Topics and Idioms⏎⏎1. Introduction⏎⏎ | escribed in sec. 4.3.1.12. Changes in  | lowing inscription:⏎⏎1. Subcharges (se | ing (the king)” (S82.1~83.1) are, with | the king)” (S82.1~83.1) are, with a fe	i 御  rituals divined.*⏎⏎Divinati
appendix/5	2	194	177	no-fuzzy-match	discontinued				he occasion arises.⏎⏎2. Religion⏎⏎Divi | bcharges (sec. 3.7.4.2) of the form “T |  all from period I.⏎⏎2. See table 26,  | controversy (see ch, 2, n. 18).⏎⏎3. Th | sted at S511.1-⏎⏎533-2.⏎4. See the ins	i 御  rituals divined.*⏎⏎Divinati
appendix/5	4	194	177	no-marker			ly⏎described in sec. 4.3.1.12. Changes		ly⏎described in sec. 4.3.1.12. Changes | ifice or about⏎lao ( 4 or ¥, “penned c | Subcharges (sec. 3.7.4.2) of the form  | d at S511.1-⏎⏎533-2.⏎4. See the inscri	i 御  rituals divined.*⏎⏎Divinati
appendix/5	5	195	178	no-marker			$24.⏎APPENDIX 5⏎=⏎[A⏎戬五面中a:文中干館 | [In the tenth month.]5⏎By period V, th | ms the chui ritual.⏎(5)⏎(PREFACE:) Cra | entertains Ta Keng (K5 ⑪)'s consort, P		ED HQ⏎⏎del⏎⏎APPENDIX 5⏎⏎Crack-making o | entertains Ta Keng (K5 @))’s consort,  | ms the chuz ritual.⏎(5)  (PREFACE:) Cr | ng and the two chuz⏎⏎5. Chien-shou 5.4 |  chuz⏎⏎5. Chien-shou 5.4 (S127.3); als	ieh⏎ritual; no fault.®⏎⏎The insc
