unit	note_no	source_scan	source_printed	status	sig_excerpt	note_body_head	gv_digit_candidates	gv_super_candidates	tess_digit_candidates	tess_weird_markers
frontmatter/preface	3	13	xiii	no-marker			may be legendary; 5 (3) even if P'an K	 Shang inscriptions.¹ The histo	may be legendary ;° (3) even if P’an K | tley (1971), pp. 13-⏎3. E.g., Chang Kw	lf may be legendary ;° (3) even 
chapter/1	5	21	4	no-marker			s date, see KK⏎(1974-5), p. 336; cf. B	 third century A.D.,³ and it is	s date, see KK⏎(1974-5), p. 336; cf. B |  the common people.⏎⏎5. Tsunoda (1951)	uring imperial times.* Close to  | e third century a.p.,° and it is | ⏎⏎the eighth century.* Far to th | k on his astrologers,® and Willi | is’ grandson, Mangu.’° In the se
chapter/1	10	21	4	no-marker			is' grandson, Mangu. 10 In the seventee	 third century A.D.,³ and it is	rger (1938),⏎p. 81.⏎⏎10. Rockhill (1900	uring imperial times.* Close to  | e third century a.p.,° and it is | ⏎⏎the eighth century.* Far to th | k on his astrologers,® and Willi | is’ grandson, Mangu.’° In the se
chapter/1	11	21	4	no-marker			"plat"" of porcupines; 11 scapulimancy ha"	 third century A.D.,³ and it is	23), pp. 1676-1677.⏎⏎11. Cooper (1936),	uring imperial times.* Close to  | e third century a.p.,° and it is | ⏎⏎the eighth century.* Far to th | k on his astrologers,® and Willi | is’ grandson, Mangu.’° In the se
chapter/1	12	21	4	no-marker			abrador in the east. 12 By the nineteen	 third century A.D.,³ and it is	. Tsunoda (1951), p. 12. For Yayoi scap | oper (1936), p. 29.⏎⏎12, On the hypothe	uring imperial times.* Close to  | e third century a.p.,° and it is | ⏎⏎the eighth century.* Far to th | k on his astrologers,® and Willi | is’ grandson, Mangu.’° In the se
chapter/1	54	31	14	tess-fallback					m⏎thickness (fig. 3).54 These preparati | re shown in fig. 3.⏎⏎54. For the number	ce cycle in period V.°”⏎⏎1.3.3 P
chapter/1	84	37	20	no-marker			t and vice versa.⏎85⏎84 The same kind o		 left and vice versa.84 The same kind o | ome large plastrons⏎⏎84. Chang Ping-ch’	mpanion⏎left scapula.*” There ar
chapter/2	1	45	28	tess-fallback					tion⏎Inscriptions⏎⏎2.1. Introduction⏎⏎ | al center at Hsiao-⏎⏎1. Though the cra	
chapter/2	2	46	29	no-fuzzy-match			2.2 THE PREFACE AND	be⏎omitted entirely.³ It was us	, see sec. 4.3.1.7.⏎⏎2. Itis not estab | able of contents, p. 2; Serruys⏎[1974] | d V..⏎⏎g. Chien-pien 2.17.3 + 2.17.5 ( |  Chien-pien 2.17.3 + 2.17.5 (S202.2; p | .17.3 + 2.17.5 (S202.2; period⏎V). The	of the⏎bone or shell.*⏎⏎The most |  day hsin-yu, Ch’iieh® divined.” | ks in Sang, divined.”* An exampl | caught⏎eleven foxes.”® Both of t
chapter/2	5	46	29	no-marker				be⏎omitted entirely.³ It was us	). Cf. n. 65 below.⏎⏎5. Ping-pien 1.12 | n-pien 2.17.3 + 2.17.5 (S202.2; period	of the⏎bone or shell.*⏎⏎The most |  day hsin-yu, Ch’iieh® divined.” | ks in Sang, divined.”* An exampl | caught⏎eleven foxes.”® Both of t
chapter/2	6	46	29	no-marker				be⏎omitted entirely.³ It was us	en 1.12 ‘period I).⏎⏎6. The bone graph | ronunciation, cf. n. 6), see CKWT,⏎Pp.	of the⏎bone or shell.*⏎⏎The most |  day hsin-yu, Ch’iieh® divined.” | ks in Sang, divined.”* An exampl | caught⏎eleven foxes.”® Both of t
chapter/2	8	46	29	no-marker			"ks in Sang, divined.""8 An example of a"	be⏎omitted entirely.³ It was us	 marks⏎are omitted.⏎⏎8. Chin-chang 583	of the⏎bone or shell.*⏎⏎The most |  day hsin-yu, Ch’iieh® divined.” | ks in Sang, divined.”* An exampl | caught⏎eleven foxes.”® Both of t
chapter/2	9	46	29	no-marker				be⏎omitted entirely.³ It was us	g (1945), pt. 2, ch. 9,⏎pp. 61a—63b, d | ⏎⏎prov — S-pw <0⏎⏎£< 9 DY Rae He BK⏎⏎=	of the⏎bone or shell.*⏎⏎The most |  day hsin-yu, Ch’iieh® divined.” | ks in Sang, divined.”* An exampl | caught⏎eleven foxes.”® Both of t
chapter/2	43	54	37	no-marker			 were prognosticated.43⏎42⏎2.5⏎Divinati		g., Ping-pien 39.21; 43.5; 43.15; 81.5; | ng-pien 39.21; 43.5; 43.15; 81.5; Yu⏎pr | 81.5; Yu⏎pren 3398.⏎⏎43. Cf. sec. 3.7.4	ce to the same topic.*4 Divinati
chapter/2	57	57	40	no-marker				nying⏎inscriptions,6¹ were on o	⏎⏎fully in Studies.⏎⏎57. See, for examp	ks would be readable.** This doe | th its own subcharge.*”⏎⏎2.6 Cra | iner or the⏎the king,** and the  |  or chao-yii Jk a8 ),*® usually  | verse crack (fig. 8).® That⏎the  | panying⏎inscriptions,®! were on  | auspicious” (fig. 8).§% For the  | ns were not recorded.®4⏎⏎2.7 The
chapter/2	71	59	42	no-marker					g-hua 1-6 (8307.3 .⏎⏎71. Ping-pien 248.	
chapter/2	72	59	42	no-marker					en 248.7 (fig. 13).⏎⏎72. Yi-pien 6668/6	
