scan_page	printed_page	section	raw_chars	clean_chars	edge_dropped	single_char_junk	running_head	hyphens_joined	cjk_runs	cjk_overlay_runs	junk_blocks
1		frontmatter/half-title	30	24	0	3	0	0	0	0	0
2		frontmatter/half-title	36	25	0	2	1	0	0	1	0
3		frontmatter/title	139	107	0	6	1	0	0	0	0
4		frontmatter/copyright	410	402	1	3	0	0	0	1	0
5	v	frontmatter/dedication	214	195	0	3	1	0	0	1	0
6	vii	frontmatter/epigraph	263	251	0	6	0	0	0	1	0
7	ix	frontmatter/contents	1041	1027	4	1	0	0	0	0	0
8	ix	frontmatter/contents	1404	1419	1	1	1	0	0	1	1
9	x	frontmatter/contents	1561	1552	0	0	1	0	0	1	0
10	x	frontmatter/list-of-figures-tables	1691	1719	1	6	0	0	1	0	1
11	xi	frontmatter/list-of-figures-tables	2025	2018	1	2	0	0	0	1	0
12	xii	frontmatter/abbreviations	1507	1621	0	1	0	0	9	64	0
13	xiii	frontmatter/preface	2942	2936	0	1	0	2	0	0	0
14	xiv	frontmatter/preface	4011	4001	0	1	1	0	0	2	0
15	xv	frontmatter/preface	3562	3547	1	0	1	2	0	1	0
16	xvi	frontmatter/preface	2843	2835	2	1	0	1	0	8	0
17	xvii	frontmatter/preface	3301	3290	0	1	1	0	0	1	0
18	1	frontmatter/preamble	2827	2814	1	4	0	1	0	0	0
19	2	frontmatter/preamble	4074	4051	1	0	1	6	0	0	0
20	3	chapter/1	2589	2529	5	14	1	2	0	0	0
21	4	chapter/1	4374	4314	1	1	1	5	0	5	0
22	5	chapter/1	4237	4149	3	15	1	3	0	2	0
23	6	chapter/1	3001	2966	0	0	1	3	0	8	0
24	7	chapter/1	4925	4841	2	18	1	7	0	2	0
25	8	chapter/1	4224	4180	2	0	1	4	0	16	0
26	9	chapter/1	3979	3906	1	16	1	5	0	1	0
27	10	chapter/1	4803	4743	1	1	1	11	0	0	0
28	11	chapter/1	4557	4483	2	16	1	4	0	0	0
29	12	chapter/1	3584	3546	2	2	1	2	0	0	0
30	13	chapter/1	3927	3893	5	4	0	5	0	0	0
31	14	chapter/1	4228	4197	1	0	1	2	0	1	0
32	15	chapter/1	3811	3749	6	6	1	5	0	0	0
33	16	chapter/1	4469	4490	0	0	0	2	2	3	0
34	17	chapter/1	4432	4382	4	10	1	4	1	5	0
35	18	chapter/1	4018	4003	2	0	0	4	0	2	0
36	19	chapter/1	3118	3068	1	15	1	1	0	0	0
37	20	chapter/1	3768	3740	1	0	1	4	0	0	0
38	21	chapter/1	4142	4104	5	12	1	2	0	0	1
39	22	chapter/1	4691	4650	2	0	1	3	0	1	0
40	23	chapter/1	4420	4378	3	3	1	1	0	2	0
41	24	chapter/1	3558	3523	0	4	1	1	0	0	0
42	25	chapter/1	3613	3576	1	2	1	1	0	1	0
43	26	chapter/1	4419	4370	1	5	1	4	0	0	0
44	27	chapter/1	296	258	2	4	1	0	0	1	0
45	28	chapter/2	2406	2380	1	3	1	4	0	0	0
46	29	chapter/2	4646	4609	1	2	1	6	1	7	0
47	30	chapter/2	4249	4181	0	6	1	13	0	4	0
48	31	chapter/2	3451	3430	4	1	1	2	0	6	1
49	32	chapter/2	4700	4637	0	6	1	11	0	3	0
50	33	chapter/2	3421	3442	1	1	0	1	0	1	1
51	34	chapter/2	3170	3144	2	3	1	0	0	0	0
52	35	chapter/2	3588	3553	2	1	1	6	0	1	0
53	36	chapter/2	3799	3773	1	0	1	2	0	2	0
54	37	chapter/2	3608	3555	3	6	1	6	0	6	0
55	38	chapter/2	4739	4704	1	1	1	4	0	4	0
56	39	chapter/2	4427	4387	3	3	1	3	0	0	0
57	40	chapter/2	3339	3300	1	0	1	7	0	3	0
58	41	chapter/2	4582	4526	1	4	1	10	0	5	0
59	42	chapter/2	2686	2652	1	1	1	4	0	0	0
60	43	chapter/2	2548	2615	0	4	0	4	2	2	2
61	44	chapter/2	3343	3303	1	6	1	2	0	1	0
62	45	chapter/2	4051	4005	1	3	1	3	0	2	0
63	46	chapter/2	4280	4242	1	1	1	1	0	0	0
64	47	chapter/2	4009	3966	1	2	1	2	0	3	0
65	48	chapter/2	4600	4542	2	7	1	1	0	7	0
66	49	chapter/2	4510	4456	1	3	1	6	0	4	0
67	50	chapter/2	3847	3794	6	2	1	2	0	0	0
