unit	note_no	source_scan	source_printed	anchor_status	sig_excerpt
frontmatter/preface	1	13	xiii	matched	inscriptions
frontmatter/preface	2	13	xiii	matched	ranyangphase
frontmatter/preface	4	13	xiii	matched	ignofpankeng
frontmatter/preface	5	13	xiii	matched	ybelegendary
frontmatter/preface	3	13	xiii	no-marker	
frontmatter/preface	6	14	xiv	matched	inwaslocated
frontmatter/preface	8	14	xiv	matched	tothedynasty
frontmatter/preface	9	15	xv	matched	orphotograph
frontmatter/preamble	1	19	2	matched	ultsobserved
chapter/1	1	20	3	matched	andvenerable
chapter/1	2	20	3	matched	capyromantic
chapter/1	3	20	3	matched	estorworship
chapter/1	4	21	4	matched	culturetrait
chapter/1	6	21	4	matched	ighthcentury
chapter/1	7	21	4	matched	fchalonsinad
chapter/1	8	21	4	matched	greekpeoples
chapter/1	9	21	4	matched	oundkkpplate
chapter/1	5	21	4	no-marker	
chapter/1	10	21	4	no-marker	
chapter/1	11	21	4	no-marker	
chapter/1	12	21	4	no-marker	
chapter/1	13	22	5	matched	candlabrador
chapter/1	14	22	5	matched	ntingculture
chapter/1	15	22	5	matched	plastromancy
chapter/1	16	23	6	matched	eanyangphase
chapter/1	17	24	7	matched	dwithcaution
chapter/1	18	24	7	matched	rfromjustone
chapter/1	19	24	7	matched	reatersupply
chapter/1	20	24	7	matched	renowextinct
chapter/1	21	24	7	matched	forpyromancy
chapter/1	22	25	8	matched	rhumanvictim
chapter/1	23	25	8	matched	snotyetknown
chapter/1	24	25	8	matched	thshangsites
chapter/1	25	25	8	matched	withscapulas
chapter/1	26	25	8	matched	eyellowriver
chapter/1	30	26	9	matched	inscriptions
chapter/1	31	27	10	matched	fturtleshell
chapter/1	32	27	10	matched	ellinperiodv
chapter/1	33	27	10	matched	nationmedium
chapter/1	34	28	11	matched	beingdivined
chapter/1	35	28	11	matched	andplastrons
chapter/1	36	28	11	matched	ceofthetopic
chapter/1	37	28	11	matched	angsownherds
chapter/1	38	28	11	matched	herstatelets
chapter/1	39	28	11	matched	tainscapulas
chapter/1	40	29	12	matched	acescomplete
chapter/1	41	29	12	matched	ationcharges
chapter/1	42	29	12	matched	llsatonetime
chapter/1	43	29	12	matched	westandsouth
chapter/1	44	29	12	matched	aandthesouth
chapter/1	45	29	12	matched	ivinersbrand
chapter/1	46	30	13	matched	frontsurface
chapter/1	47	30	13	matched	hetuberosity
chapter/1	48	30	13	matched	outofthebone
chapter/1	49	30	13	matched	soleveledfig
chapter/1	50	30	13	matched	blongtablets
chapter/1	51	30	13	matched	enreproduced
chapter/1	52	30	13	matched	otheplastron
chapter/1	53	31	14	matched	nwassmoothed
chapter/1	55	31	14	matched	obewrittenon
chapter/1	56	31	14	matched	themtogether
chapter/1	57	31	14	matched	cleinperiodv
chapter/1	58	31	14	matched	adbeenformed
chapter/1	54	31	14	tess-fallback	
chapter/1	59	32	15	matched	lishedasjade
chapter/1	60	32	15	matched	equentlymade
chapter/1	61	32	15	matched	kneartheedge
chapter/1	62	32	15	matched	andbringlead
chapter/1	63	32	15	matched	vedatonetime
chapter/1	64	33	16	matched	uisitionfrom
chapter/1	65	33	16	matched	rsrecordedby
chapter/1	66	33	16	matched	theircapital
chapter/1	67	33	16	matched	nmuchdebated
chapter/1	68	33	16	matched	anticburning
chapter/1	69	33	16	matched	eboneorshell
chapter/1	70	33	16	matched	heroyalwomen
chapter/1	71	34	17	matched	uallyprepare
chapter/1	72	34	17	matched	ationslikewo
chapter/1	73	34	17	matched	ecordedbypin
chapter/1	74	34	17	matched	ecordedbypin
chapter/1	75	34	17	matched	suallyorless
chapter/1	76	34	17	matched	orynotations
chapter/1	77	35	18	matched	eboneorshell
chapter/1	78	35	18	matched	orstoneburin
chapter/1	79	35	18	matched	paredsurface
chapter/1	80	35	18	matched	oublehollows
chapter/1	81	36	19	matched	rcularhollow
chapter/1	82	36	19	matched	iseledhollow
chapter/1	83	36	19	matched	beenchiseled
chapter/1	85	37	20	matched	andviceversa
chapter/1	86	37	20	matched	icworksofart
chapter/1	87	37	20	matched	nleftscapula
chapter/1	88	37	20	matched	nalnotations
chapter/1	89	37	20	matched	ntlyfollowed
chapter/1	84	37	20	no-marker	
chapter/1	90	38	21	matched	totheirbacks
chapter/1	91	38	21	matched	elativelyfew
chapter/1	92	38	21	matched	efficientuse
chapter/1	93	38	21	matched	echnicalfeat
chapter/1	94	39	22	matched	allyscorched
chapter/1	95	39	22	matched	holeorinpart
chapter/1	96	39	22	matched	dtothehollow
chapter/1	97	39	22	matched	brandwasused
chapter/1	98	40	23	matched	heshangbones
chapter/1	99	40	23	matched	ndhardobject
chapter/1	100	40	23	matched	softhehollow
chapter/1	101	40	23	matched	etoflakeaway
chapter/1	102	40	23	matched	arsidehollow
chapter/1	105	41	24	matched	nersreadings
chapter/1	120	43	26	matched	sstillneeded
chapter/1	121	43	26	matched	tisfactorily
chapter/1	122	43	26	matched	sdivinations
chapter/2	1	45	28	tess-fallback	
chapter/2	2	46	29	no-fuzzy-match	
chapter/2	3	46	29	matched	ttedentirely
chapter/2	4	46	29	matched	eboneorshell
chapter/2	7	46	29	matched	thtimeseesec
chapter/2	5	46	29	no-marker	
chapter/2	6	46	29	no-marker	
chapter/2	8	46	29	no-marker	
chapter/2	9	46	29	no-marker	
chapter/2	10	47	30	matched	ybediscerned
chapter/2	11	47	30	matched	ulardiviners
chapter/2	12	47	30	matched	ndthespirits
chapter/2	13	48	31	matched	eoraclebones
chapter/2	14	48	31	matched	chehpincheng
chapter/2	15	48	31	matched	atorrecorded
chapter/2	16	48	31	matched	itprovenance
chapter/2	17	48	31	matched	heshangstate
chapter/2	18	49	32	matched	ohadnotruled
chapter/2	19	49	32	matched	eirexistence
chapter/2	22	50	33	matched	laorplastron
chapter/2	23	50	33	matched	erninperiodi
chapter/2	24	50	33	matched	tithehighgod
chapter/2	36	54	37	matched	nsversecrack
chapter/2	37	54	37	matched	udyofsetssec
chapter/2	38	54	37	matched	nnamefanchao
chapter/2	39	54	37	matched	rgewascarved
chapter/2	40	54	37	matched	einscription
chapter/2	41	54	37	matched	andcorrected
chapter/2	42	54	37	matched	ognosticated
chapter/2	44	54	37	matched	thesametopic
chapter/2	43	54	37	no-marker	
chapter/2	45	55	38	matched	illetharvest
chapter/2	46	55	38	matched	ncracksinall
chapter/2	47	55	38	matched	ackspertopic
chapter/2	48	55	38	matched	ackspertopic
chapter/2	49	55	38	matched	airofcharges
chapter/2	50	56	39	matched	onesorshells
chapter/2	51	56	39	matched	reviatedform
chapter/2	52	56	39	matched	sorplastrons
chapter/2	53	56	39	matched	cracknumbers
chapter/2	54	56	39	matched	ellsasneeded
chapter/2	55	56	39	matched	eckonanother
chapter/2	56	57	40	matched	ldbereadable
chapter/2	58	57	40	matched	ownsubcharge
chapter/2	59	57	40	matched	mshuyorchaoy
chapter/2	60	57	40	matched	ersecrackfig
chapter/2	61	57	40	matched	inscriptions
chapter/2	62	57	40	matched	ecarvedfirst
chapter/2	63	57	40	matched	uspiciousfig
chapter/2	64	57	40	matched	enotrecorded
chapter/2	57	57	40	no-marker	
chapter/2	65	58	41	matched	ckofscapulas
chapter/2	66	58	41	matched	hecrackssaid
chapter/2	67	58	41	matched	ofthecharges
chapter/2	68	58	41	matched	uspiciousfig
chapter/2	69	59	42	matched	lfamilygroup
chapter/2	70	59	42	matched	ngtendayweek
chapter/2	73	59	42	matched	caretostress
chapter/2	74	59	42	matched	eboneorshell
chapter/2	75	59	42	matched	ckofscapulas
chapter/2	71	59	42	no-marker	
chapter/2	72	59	42	no-marker	
chapter/2	77	60	43	matched	eeleventhday
chapter/2	78	60	43	matched	yourchariots
chapter/2	79	60	43	matched	thetouperiod
chapter/2	76	60	43	no-marker	
chapter/2	81	61	44	matched	othefifthday
chapter/2	82	61	44	matched	ewestchihkuo
chapter/2	83	61	44	matched	confoundedit
chapter/2	80	61	44	no-marker	
chapter/2	85	62	45	matched	chargeaswell
chapter/2	86	62	45	matched	havesupposed
chapter/2	87	62	45	matched	lacebutafter
