page	fn_no	status	body_snippet	gv_marker_pos	gv_context
21	5	OK	Tsunoda (1951), p. 12. For Yayoi scapulimancy, see Saitō (19...	-1	
21	6	OK	Chamberlain (1883), p. lix; Satow (1879), pp. 429-433; Phili...	-1	
21	7	OK	For the reasons why Jordanes' record that Attila's haruspice...	-1	
21	8	OK	Cooper (1936), p. 34; Eisenberger (1938), p. 50.	-1	
21	10	OK	Rockhill (1900), pp. 187–188; cf. Wieger (1923), pp. 1676-16...	-1	
21	11	OK	Cooper (1936), p. 29.	-1	
21	4	OUT-OF-ORDER (after 11)	The history and social significance of pyromancy in China, t...	-1	
21	12	OK	On the hypothetical diffusion of pyroscapulimancy from the O...	-1	
21	9	OUT-OF-ORDER (after 12)	Satow (1879), p. 431; Eisenberger (1938), p. 81.	-1	
