scan_page,printed_page,logical_page,section,image_path,ocr_start_offset,ocr_end_offset,notes
1,,,frontmatter/half-title,source/pages/p_0001.png,0,30,
2,,,frontmatter/half-title,source/pages/p_0002.png,31,67,
3,,,frontmatter/title,source/pages/p_0003.png,68,207,
4,,,frontmatter/copyright,source/pages/p_0004.png,208,618,
5,v,,frontmatter/dedication,source/pages/p_0005.png,619,833,
6,vii,,frontmatter/epigraph,source/pages/p_0006.png,834,1097,
7,ix,,frontmatter/contents,source/pages/p_0007.png,1098,2139,
8,ix,,frontmatter/contents,source/pages/p_0008.png,2140,3544,
9,x,,frontmatter/contents,source/pages/p_0009.png,3545,5106,
10,x,,frontmatter/list-of-figures-tables,source/pages/p_0010.png,5107,6798,
11,xi,,frontmatter/list-of-figures-tables,source/pages/p_0011.png,6799,8824,
12,xii,,frontmatter/abbreviations,source/pages/p_0012.png,8825,10332,
13,xiii,,frontmatter/preface,source/pages/p_0013.png,10333,13275,
14,xiv,,frontmatter/preface,source/pages/p_0014.png,13276,17287,
15,xv,,frontmatter/preface,source/pages/p_0015.png,17288,20850,
16,xvi,,frontmatter/preface,source/pages/p_0016.png,20851,23694,
17,xvii,,frontmatter/preface,source/pages/p_0017.png,23695,26996,
18,1,,frontmatter/preamble,source/pages/p_0018.png,26997,29824,
19,2,,frontmatter/preamble,source/pages/p_0019.png,29825,33899,
20,3,,chapter/1,source/pages/p_0020.png,33900,36489,
21,4,,chapter/1,source/pages/p_0021.png,36490,40864,
22,5,,chapter/1,source/pages/p_0022.png,40865,45102,
23,6,,chapter/1,source/pages/p_0023.png,45103,48104,
24,7,,chapter/1,source/pages/p_0024.png,48105,53030,
25,8,,chapter/1,source/pages/p_0025.png,53031,57255,
26,9,,chapter/1,source/pages/p_0026.png,57256,61235,
27,10,,chapter/1,source/pages/p_0027.png,61236,66039,
28,11,,chapter/1,source/pages/p_0028.png,66040,70597,
29,12,,chapter/1,source/pages/p_0029.png,70598,74182,
30,13,,chapter/1,source/pages/p_0030.png,74183,78110,
